timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
749,0,12.5925,0,1,-1,0,2,0,0,0,0,0

767,0,12.5862,0,1,-1,0,2,0,0,0,0,1

787,0,12.5925,0,1,-1,0,2,0,0,0,0,2

821,0,12.5799,0,1,-1,0,2,0,0,0,0,3

843,0,12.5862,0,1,-1,0,2,0,0,0,0,4

866,0,12.5925,0,1,-1,0,2,0,0,0,0,5

895,0,12.5925,0,1,-1,0,2,0,0,0,0,6

910,0,12.5862,0,1,-1,0,2,0,0,0,0,7

931,0,12.5862,0,1,-1,0,2,0,0,0,0,8

951,0,12.5925,0,1,-1,0,2,0,0,0,0,9

971,0,12.5925,0,1,-1,0,2,0,0,0,0,10

987,0,12.5925,0,1,-1,0,2,0,0,0,0,11

1007,0,12.5925,0,1,-1,0,2,0,0,0,0,12

1027,0,12.5925,0,1,-1,0,2,0,0,0,0,13

1051,0,12.5925,0,1,-1,0,2,0,0,0,0,14

1067,0,12.5862,0,1,-1,0,2,0,0,0,0,15

1087,0,12.5925,0,1,-1,0,2,0,0,0,0,16

1107,0,12.5925,0,1,-1,0,2,0,0,0,0,17

1127,0,12.5862,0,1,-1,0,2,0,0,0,0,18

1150,0,12.5925,0,1,-1,0,2,0,0,0,0,19

1167,0,12.5799,0,1,-1,0,2,0,0,0,0,20

1188,0,12.5736,0,1,-1,0,2,0,0,0,0,21

1211,0,12.5862,0,1,-1,0,2,0,0,0,0,22

1227,0,12.5862,0,1,-1,0,2,0,0,0,0,23

1247,0,12.5925,0,1,-1,0,2,0,0,0,0,24

1267,0,12.5925,0,1,-1,0,2,0,0,0,0,25

1288,0,12.5862,0,1,-1,0,2,0,0,0,0,26

1307,0,12.6113,0,1,-1,0,2,0,0,0,0,27

1327,0,12.5925,0,1,-1,0,2,0,0,0,0,28

1347,0,12.5988,0,1,-1,0,2,0,0,0,0,29

1371,0,12.5862,0,1,-1,0,2,0,0,0,0,30

1387,0,12.5988,0,1,-1,0,2,0,0,0,0,31

1410,0,12.5862,0,1,-1,0,2,0,0,0,0,32

