timestamp,state,current_angle,current_angular_velocity,raw_angular_velocity,calibration_time_left,queue_index
874,2,0,0,0.0291974,9.995,0

877,2,0,0,0.0291974,9.99,1

882,2,0,0,0.0305064,9.985,2

887,2,0,0,0.0259249,9.98,3

892,2,0,0,0.0233069,9.975,4

897,2,0,0,0.0307246,9.97,5

902,2,0,0,0.0342152,9.965,6

907,2,0,0,0.0270158,9.96,7

912,2,0,0,0.0259249,9.955,8

917,2,0,0,0.0235251,9.95,9

922,2,0,0,0.0257068,9.945,10

927,2,0,0,0.0259249,9.94,11

932,2,0,0,0.0294156,9.935,12

937,2,0,0,0.0289792,9.93,13

942,2,0,0,0.0322517,9.925,14

947,2,0,0,0.0263613,9.92,15

952,2,0,0,0.0257068,9.915,16

957,2,0,0,0.0283248,9.91,17

962,2,0,0,0.0298519,9.905,18

967,2,0,0,0.0305064,9.9,19

972,2,0,0,0.0289792,9.895,20

977,2,0,0,0.0263613,9.89,21

982,2,0,0,0.0294156,9.885,22

987,2,0,0,0.0276703,9.88,23

992,2,0,0,0.0248341,9.875,24

997,2,0,0,0.0267976,9.87,25

1002,2,0,0,0.0281066,9.865,26

1007,2,0,0,0.0294156,9.86,27

1012,2,0,0,0.0296337,9.855,28

1017,2,0,0,0.0259249,9.85,29

1022,2,0,0,0.0267976,9.845,30

1027,2,0,0,0.0300701,9.84,31

1032,2,0,0,0.0248341,9.835,32

1037,2,0,0,0.0274521,9.83,33

1042,2,0,0,0.0315972,9.825,34

1047,2,0,0,0.0305064,9.82,35

1052,2,0,0,0.0246159,9.815,36

1057,2,0,0,0.0267976,9.81,37

1062,2,0,0,0.0252704,9.805,38

1067,2,0,0,0.0257068,9.8,39

1072,2,0,0,0.0250523,9.795,40

1077,2,0,0,0.0257068,9.79,41

1082,2,0,0,0.0252704,9.785,42

1087,2,0,0,0.0329062,9.78,43

1092,2,0,0,0.0318154,9.775,44

1097,2,0,0,0.0298519,9.77,45

1102,2,0,0,0.0298519,9.765,46

1107,2,0,0,0.0230888,9.76,47

1112,2,0,0,0.0250523,9.755,48

1117,2,0,0,0.0296337,9.75,49

1122,2,0,0,0.0267976,9.745,50

1127,2,0,0,0.0300701,9.74,51

1132,2,0,0,0.0272339,9.735,52

1137,2,0,0,0.0320336,9.73,53

1142,2,0,0,0.0318154,9.725,54

1147,2,0,0,0.0265794,9.72,55

1152,2,0,0,0.0267976,9.715,56

1157,2,0,0,0.0259249,9.71,57

1162,2,0,0,0.0289792,9.705,58

1167,2,0,0,0.0285429,9.7,59

1172,2,0,0,0.0315972,9.695,60

1177,2,0,0,0.0296337,9.69,61

1182,2,0,0,0.0270158,9.685,62

1187,2,0,0,0.0270158,9.68,63

1192,2,0,0,0.0254886,9.675,64

1197,2,0,0,0.0259249,9.67,65

1202,2,0,0,0.0257068,9.665,66

1207,2,0,0,0.0274521,9.66,67

1212,2,0,0,0.0261431,9.655,68

1217,2,0,0,0.0313791,9.65,69

1222,2,0,0,0.0305064,9.645,70

1227,2,0,0,0.0254886,9.64,71

1232,2,0,0,0.0272339,9.635,72

1237,2,0,0,0.0283248,9.63,73

1242,2,0,0,0.0274521,9.625,74

1247,2,0,0,0.0298519,9.62,75

1252,2,0,0,0.0283248,9.615,76

1257,2,0,0,0.0274521,9.61,77

1262,2,0,0,0.0272339,9.605,78

1267,2,0,0,0.0300701,9.6,79

1272,2,0,0,0.0318154,9.595,80

1277,2,0,0,0.0300701,9.59,81

1282,2,0,0,0.0294156,9.585,82

1287,2,0,0,0.0331244,9.58,83

1292,2,0,0,0.0300701,9.575,84

1297,2,0,0,0.0287611,9.57,85

1302,2,0,0,0.0248341,9.565,86

1307,2,0,0,0.0265794,9.56,87

1312,2,0,0,0.0302882,9.555,88

1317,2,0,0,0.0298519,9.55,89

1322,2,0,0,0.0281066,9.545,90

1327,2,0,0,0.0265794,9.54,91

1332,2,0,0,0.0309427,9.535,92

1337,2,0,0,0.0291974,9.53,93

1342,2,0,0,0.0276703,9.525,94

1347,2,0,0,0.0291974,9.52,95

1352,2,0,0,0.0296337,9.515,96

1357,2,0,0,0.0307246,9.51,97

1362,2,0,0,0.0259249,9.505,98

1367,2,0,0,0.0254886,9.5,99

1372,2,0,0,0.0281066,9.495,100

1377,2,0,0,0.0276703,9.49,101

1382,2,0,0,0.0270158,9.485,102

1387,2,0,0,0.0246159,9.48,103

1392,2,0,0,0.0272339,9.475,104

1397,2,0,0,0.0259249,9.47,105

1402,2,0,0,0.0270158,9.465,106

1407,2,0,0,0.0263613,9.46,107

1412,2,0,0,0.0272339,9.455,108

1417,2,0,0,0.0250523,9.45,109

1422,2,0,0,0.0291974,9.445,110

1427,2,0,0,0.0259249,9.44,111

1432,2,0,0,0.0237433,9.435,112

1437,2,0,0,0.0276703,9.43,113

1442,2,0,0,0.0300701,9.425,114

1447,2,0,0,0.0298519,9.42,115

1452,2,0,0,0.0298519,9.415,116

1457,2,0,0,0.0287611,9.41,117

1462,2,0,0,0.0248341,9.405,118

