timestamp,score_goal,intake_goal,elevator_god_mode_goal,wrist_god_mode_goal,queue_index
749,0,0,0,0,0

767,0,0,0,0,1

787,0,0,0,0,2

807,0,0,0,0,3

827,0,0,0,0,4

850,0,0,0,0,5

887,0,0,0,0,6

907,0,0,0,0,7

927,0,0,0,0,8

947,0,0,0,0,9

967,0,0,0,0,10

987,0,0,0,0,11

1007,0,0,0,0,12

1027,0,0,0,0,13

1047,0,0,0,0,14

1067,0,0,0,0,15

1087,0,0,0,0,16

1107,0,0,0,0,17

1127,0,0,0,0,18

1147,0,0,0,0,19

1167,0,0,0,0,20

1187,0,0,0,0,21

1207,0,0,0,0,22

1227,0,0,0,0,23

1247,0,0,0,0,24

1267,0,0,0,0,25

1287,0,0,0,0,26

1307,0,0,0,0,27

1327,0,0,0,0,28

1347,0,0,0,0,29

1367,0,0,0,0,30

1387,0,0,0,0,31

1407,0,0,0,0,32

1427,0,0,0,0,33

1447,0,0,0,0,34

1467,0,0,0,0,35

1487,0,0,0,0,36

1507,0,0,0,0,37

1527,0,0,0,0,38

1547,0,0,0,0,39

1567,0,0,0,0,40

1587,0,0,0,0,41

1607,0,0,0,0,42

1627,0,0,0,0,43

1647,0,0,0,0,44

1667,0,0,0,0,45

1687,0,0,0,0,46

1707,0,0,0,0,47

1727,0,0,0,0,48

1747,0,0,0,0,49

1767,0,0,0,0,50

1787,0,0,0,0,51

1807,0,0,0,0,52

1827,0,0,0,0,53

1847,0,0,0,0,54

1867,0,0,0,0,55

1887,0,0,0,0,56

1907,0,0,0,0,57

1927,0,0,0,0,58

1947,0,0,0,0,59

1967,0,0,0,0,60

1987,0,0,0,0,61

2007,0,0,0,0,62

2027,0,0,0,0,63

2047,0,0,0,0,64

2067,0,0,0,0,65

2087,0,0,0,0,66

2107,0,0,0,0,67

2127,0,0,0,0,68

2147,0,0,0,0,69

2167,0,0,0,0,70

2187,0,0,0,0,71

2207,0,0,0,0,72

2227,0,0,0,0,73

2247,0,0,0,0,74

2267,0,0,0,0,75

2287,0,0,0,0,76

2307,0,0,0,0,77

2327,0,0,0,0,78

2347,0,0,0,0,79

2367,0,0,0,0,80

2387,0,0,0,0,81

2407,0,0,0,0,82

2427,0,0,0,0,83

2447,0,0,0,0,84

2467,0,0,0,0,85

2487,0,0,0,0,86

2507,0,0,0,0,87

2527,0,0,0,0,88

2547,0,0,0,0,89

2567,0,0,0,0,90

2587,0,0,0,0,91

2607,0,0,0,0,92

2627,0,0,0,0,93

2647,0,0,0,0,94

2667,0,0,0,0,95

2687,0,0,0,0,96

2707,0,0,0,0,97

2727,0,0,0,0,98

2747,0,0,0,0,99

2767,0,0,0,0,100

2787,0,0,0,0,101

2807,0,0,0,0,102

2827,0,0,0,0,103

2847,0,0,0,0,104

2867,0,0,0,0,105

2887,0,0,0,0,106

2907,0,0,0,0,107

2927,0,0,0,0,108

2947,0,0,0,0,109

2967,0,0,0,0,110

2987,0,0,0,0,111

3007,0,0,0,0,112

3027,0,0,0,0,113

3047,0,0,0,0,114

3067,0,0,0,0,115

3087,0,0,0,0,116

3107,0,0,0,0,117

3127,0,0,0,0,118

3147,0,0,0,0,119

3167,0,0,0,0,120

3187,0,0,0,0,121

3207,0,0,0,0,122

3227,0,0,0,0,123

3247,0,0,0,0,124

3267,0,0,0,0,125

3287,0,0,0,0,126

3307,0,0,0,0,127

3327,0,0,0,0,128

3347,0,0,0,0,129

3367,0,0,0,0,130

3387,0,0,0,0,131

3407,0,0,0,0,132

3427,0,0,0,0,133

3447,0,0,0,0,134

3467,0,0,0,0,135

3487,0,0,0,0,136

3507,0,0,0,0,137

3527,0,0,0,0,138

3547,0,0,0,0,139

3567,0,0,0,0,140

3587,0,0,0,0,141

3607,0,0,0,0,142

3627,0,0,0,0,143

3647,0,0,0,0,144

3667,0,0,0,0,145

3687,0,0,0,0,146

3707,0,0,0,0,147

3727,0,0,0,0,148

3747,0,0,0,0,149

3767,0,0,0,0,150

3787,0,0,0,0,151

3807,0,0,0,0,152

