timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
747,0,12.6239,0,1,-1,0,2,0,0,0,0,0

770,0,12.6113,0,1,-1,0,2,0,0,0,0,1

784,0,12.6176,0,1,-1,0,2,0,0,0,0,2

822,0,12.6239,0,1,-1,0,2,0,0,0,0,3

853,0,12.6239,0,1,-1,0,2,0,0,0,0,4

866,0,12.6176,0,1,-1,0,2,0,0,0,0,5

884,0,12.6176,0,1,-1,0,2,0,0,0,0,6

904,0,12.6239,0,1,-1,0,2,0,0,0,0,7

924,0,12.6176,0,1,-1,0,2,0,0,0,0,8

944,0,12.6113,0,1,-1,0,2,0,0,0,0,9

963,0,12.6113,0,1,-1,0,2,0,0,0,0,10

983,0,12.6176,0,1,-1,0,2,0,0,0,0,11

1003,0,12.6176,0,1,-1,0,2,0,0,0,0,12

1023,0,12.6113,0,1,-1,0,2,0,0,0,0,13

1043,0,12.6176,0,1,-1,0,2,0,0,0,0,14

1063,0,12.605,0,1,-1,0,2,0,0,0,0,15

1084,0,12.6113,0,1,-1,0,2,0,0,0,0,16

1104,0,12.6113,0,1,-1,0,2,0,0,0,0,17

1123,0,12.6113,0,1,-1,0,2,0,0,0,0,18

1143,0,12.6176,0,1,-1,0,2,0,0,0,0,19

1163,0,12.6113,0,1,-1,0,2,0,0,0,0,20

1183,0,12.605,0,1,-1,0,2,0,0,0,0,21

1203,0,12.605,0,1,-1,0,2,0,0,0,0,22

1223,0,12.6113,0,1,-1,0,2,0,0,0,0,23

1243,0,12.6239,0,1,-1,0,2,0,0,0,0,24

1263,0,12.6176,0,1,-1,0,2,0,0,0,0,25

1283,0,12.6176,0,1,-1,0,2,0,0,0,0,26

1303,0,12.6176,0,1,-1,0,2,0,0,0,0,27

1323,0,12.6176,0,1,-1,0,2,0,0,0,0,28

1344,0,12.6176,0,1,-1,0,2,0,0,0,0,29

1363,0,12.6176,0,1,-1,0,2,0,0,0,0,30

1383,0,12.6113,0,1,-1,0,2,0,0,0,0,31

1403,0,12.6113,0,1,-1,0,2,0,0,0,0,32

1424,0,12.605,0,1,-1,0,2,0,0,0,0,33

1443,0,12.5988,0,1,-1,0,2,0,0,0,0,34

1463,0,12.6113,0,1,-1,0,2,0,0,0,0,35

1483,0,12.6113,0,1,-1,0,2,0,0,0,0,36

1504,0,12.6113,0,1,-1,0,2,0,0,0,0,37

1524,0,12.6176,0,1,-1,0,2,0,0,0,0,38

1543,0,12.5925,0,1,-1,0,2,0,0,0,0,39

1564,0,12.6113,0,1,-1,0,2,0,0,0,0,40

1583,0,12.605,0,1,-1,0,2,0,0,0,0,41

1603,0,12.605,0,1,-1,0,2,0,0,0,0,42

1623,0,12.6113,0,1,-1,0,2,0,0,0,0,43

1644,0,12.6176,0,1,-1,0,2,0,0,0,0,44

1664,0,12.6239,0,1,-1,0,2,0,0,0,0,45

1683,0,12.6176,0,1,-1,0,2,0,0,0,0,46

1703,0,12.6239,0,1,-1,0,2,0,0,0,0,47

1723,0,12.6113,0,1,-1,0,2,0,0,0,0,48

1744,0,12.6113,0,1,-1,0,2,0,0,0,0,49

1764,0,12.6239,0,1,-1,0,2,0,0,0,0,50

1784,0,12.6176,0,1,-1,0,2,0,0,0,0,51

