timestamp,score_goal,intake_goal,elevator_god_mode_goal,wrist_god_mode_goal,queue_index
28824,0,0,0,0,0

28844,0,0,0,0,1

28864,0,0,0,0,2

28884,0,0,0,0,3

28904,0,0,0,0,4

28924,0,0,0,0,5

28944,0,0,0,0,6

28964,0,0,0,0,7

28984,0,0,0,0,8

29004,0,0,0,0,9

29024,0,0,0,0,10

29044,0,0,0,0,11

29064,0,0,0,0,12

29084,0,0,0,0,13

29104,0,0,0,0,14

29124,0,0,0,0,15

29144,0,0,0,0,16

29164,0,0,0,0,17

29184,0,0,0,0,18

29204,0,0,0,0,19

29224,0,0,0,0,20

29244,0,0,0,0,21

29264,0,0,0,0,22

29284,0,0,0,0,23

29304,0,0,0,0,24

29324,0,0,0,0,25

29344,0,0,0,0,26

29364,0,0,0,0,27

29384,0,0,0,0,28

29404,0,0,0,0,29

29424,0,0,0,0,30

29444,0,0,0,0,31

29464,0,0,0,0,32

29484,0,0,0,0,33

29504,0,0,0,0,34

29524,0,0,0,0,35

29544,0,0,0,0,36

29564,0,0,0,0,37

29584,0,0,0,0,38

29604,0,0,0,0,39

29624,0,0,0,0,40

29644,0,0,0,0,41

29664,0,0,0,0,42

29684,0,0,0,0,43

29704,0,0,0,0,44

29724,0,0,0,0,45

29744,0,0,0,0,46

29764,0,0,0,0,47

29784,0,0,0,0,48

29804,0,0,0,0,49

29824,0,0,0,0,50

29844,0,0,0,0,51

29864,0,0,0,0,52

29884,0,0,0,0,53

29904,0,0,0,0,54

29924,0,0,0,0,55

29944,0,0,0,0,56

29964,0,0,0,0,57

29984,0,0,0,0,58

30004,0,0,0,0,59

30024,0,0,0,0,60

30044,0,0,0,0,61

30064,0,0,0,0,62

30084,0,0,0,0,63

30104,0,0,0,0,64

30124,0,0,0,0,65

30144,0,0,0,0,66

30164,0,0,0,0,67

30184,0,0,0,0,68

30204,0,0,0,0,69

30224,0,0,0,0,70

30244,0,0,0,0,71

30264,0,0,0,0,72

30284,0,0,0,0,73

30304,0,0,0,0,74

30324,0,0,0,0,75

30344,0,0,0,0,76

30364,0,0,0,0,77

30384,0,0,0,0,78

30404,0,0,0,0,79

30424,0,0,0,0,80

30444,0,0,0,0,81

30464,0,0,0,0,82

30484,0,0,0,0,83

30504,0,0,0,0,84

30524,0,0,0,0,85

30544,0,0,0,0,86

30564,0,0,0,0,87

30584,0,0,0,0,88

30604,0,0,0,0,89

30624,0,0,0,0,90

30644,0,0,0,0,91

30664,0,0,0,0,92

30684,0,0,0,0,93

30704,0,0,0,0,94

30724,0,0,0,0,95

30744,0,0,0,0,96

30764,0,0,0,0,97

30784,0,0,0,0,98

30804,0,0,0,0,99

30824,0,0,0,0,100

30844,0,0,0,0,101

30864,0,0,0,0,102

30884,0,0,0,0,103

30904,0,0,0,0,104

30924,0,0,0,0,105

30944,0,0,0,0,106

30964,0,0,0,0,107

30984,0,0,0,0,108

31004,0,0,0,0,109

31044,0,0,0,0,110

31064,0,0,0,0,111

31084,0,0,0,0,112

31104,0,0,0,0,113

31124,0,0,0,0,114

31144,0,0,0,0,115

31164,0,0,0,0,116

31184,0,0,0,0,117

31204,0,0,0,0,118

31224,0,0,0,0,119

31244,0,0,0,0,120

31264,0,0,0,0,121

31284,0,0,0,0,122

31304,0,0,0,0,123

31324,0,0,0,0,124

31344,0,0,0,0,125

31364,0,0,0,0,126

31384,0,0,0,0,127

31404,0,0,0,0,128

31424,0,0,0,0,129

31444,0,0,0,0,130

31464,0,0,0,0,131

31484,0,0,0,0,132

31504,0,0,0,0,133

31524,0,0,0,0,134

31544,0,0,0,0,135

31564,0,0,0,0,136

31584,0,0,0,0,137

31604,0,0,0,0,138

31624,0,0,0,0,139

31644,0,0,0,0,140

31664,0,0,0,0,141

31684,0,0,0,0,142

31704,0,0,0,0,143

31724,0,0,0,0,144

31744,0,0,0,0,145

31764,0,0,0,0,146

31784,0,0,0,0,147

31804,0,0,0,0,148

31824,0,0,0,0,149

31844,0,0,0,0,150

31864,0,0,0,0,151

31884,0,0,0,0,152

31904,0,0,0,0,153

31924,0,0,0,0,154

31944,0,0,0,0,155

31964,0,0,0,0,156

31984,0,0,0,0,157

32004,0,0,0,0,158

32024,0,0,0,0,159

32044,0,0,0,0,160

32064,0,0,0,0,161

32084,0,0,0,0,162

32104,0,0,0,0,163

32124,0,0,0,0,164

32144,0,0,0,0,165

